1000 is a False Positive, It has not been inserted
crackest is a False Positive, It has not been inserted
holdest is a true negative,it has never been inserted before
cattegat is a true negative,it has never been inserted before
baltic is a true negative,it has never been inserted before
storm-lashed is a true negative,it has never been inserted before
sea-salt is a True Positive, It had been inserted
4th is a true negative,it has never been inserted before
waterspout is a true negative,it has never been inserted before
pistol—fire is a true negative,it has never been inserted before
cove is a true negative,it has never been inserted before
shifted is a true negative,it has never been inserted before
crew’s is a true negative,it has never been inserted before
keeled is a true negative,it has never been inserted before
birthmark is a true negative,it has never been inserted before
sky—lurid-like is a true negative,it has never been inserted before
black’s is a False Positive, It has not been inserted
bully is a True Positive, It had been inserted
ah!—the is a true negative,it has never been inserted before
